sample_id,timestamp,subject_id,session_id,camera_position,lighting_condition,exercise_type,active_arm,rom_elbow,upper_arm_angle_std,torso_sway_range,shoulder_angle_range,rep_duration,up_phase_duration,down_phase_duration,elbow_velocity_mean,elbow_velocity_std,motion_smoothness,elbow_drift_range,mean_visibility,label,error_type,notes,row_index,reject_reason
47,2026-06-10T05:32:06,S02,session_01,side,normal,biceps,left,78.29684451596185,4.51658743381519,2.84810918561684,13.990215894188246,1.5045366287231443,0.6075224876403809,0.8970141410827637,155.17559400475295,215.52990046730048,4767.403186295464,14.17793199108845,0.95002993985134,correct,correct,good_form,46,label_mismatch_rom_too_low:78.3
50,2026-06-10T05:33:14,S02,session_01,side,normal,biceps,left,82.94058535458399,0.5781136543931766,1.338190845595825,3.2201437191571616,1.816028118133545,1.1427106857299805,0.6733174324035645,99.25532915013166,83.4755399354076,1707.243585408176,2.94643268251019,0.9888795127228992,correct,correct,good_form,49,label_mismatch_rom_too_low:82.9
51,2026-06-10T05:33:28,S02,session_01,side,normal,biceps,left,84.97587669066601,0.9524981918128208,1.1808286763742584,1.835638191149636,1.5808501243591309,0.7740237712860107,0.8068263530731201,111.3905095495548,91.55816068802848,2091.5848593898886,3.389262555930059,0.9894781530731254,correct,correct,good_form,50,label_mismatch_rom_too_low:85.0
52,2026-06-10T05:33:46,S02,session_01,side,normal,biceps,left,74.42705321346286,1.5499903320229398,2.0894478231341047,1.931273421674228,3.5877981185913086,2.7882981300354004,0.7994999885559082,48.32235451347855,60.95212346883806,906.929312659669,4.6122336854417165,0.9887913296620052,correct,correct,good_form,51,label_mismatch_rom_too_low:74.4
54,2026-06-10T05:34:11,S02,session_01,side,normal,biceps,right,83.33054749609715,1.6125758607054996,0.8999057395602326,6.812628149291274,1.706251621246338,0.8581295013427734,0.8481221199035645,106.78186185437924,68.4627046954357,1336.6760528946077,6.580497113153587,0.9836234944431406,correct,correct,good_form,53,label_mismatch_rom_too_low:83.3
55,2026-06-10T05:34:18,S02,session_01,side,normal,biceps,right,84.74929809838032,1.713309150597136,0.4464353396244815,7.061857830275296,1.742964506149292,0.9566707611083984,0.7862937450408936,102.11317247591457,66.68995871283619,1519.2777579846666,6.797070411391508,0.9828603573334522,correct,correct,good_form,54,label_mismatch_rom_too_low:84.7
56,2026-06-10T05:34:24,S02,session_01,side,normal,biceps,right,77.49759429820267,1.0494728949236385,1.1124618555530383,3.929378282874355,1.9930744171142576,1.2633318901062012,0.7297425270080566,81.87170363914012,56.36618560970834,1155.1931300165754,4.003560807244108,0.9761157508777536,correct,correct,good_form,55,label_mismatch_rom_too_low:77.5
57,2026-06-10T05:34:30,S02,session_01,side,normal,biceps,right,79.31296631707866,1.1798590496632435,0.9560731278105844,6.486758857854153,1.586177110671997,0.8114807605743408,0.7746963500976562,101.63077037937003,75.42515880491199,1559.8171126889945,5.826329599993627,0.9860108093255096,correct,correct,good_form,56,label_mismatch_rom_too_low:79.3
58,2026-06-10T05:34:39,S02,session_01,side,normal,biceps,right,75.47373803671496,1.7605548920802403,0.9013567492994166,8.292684181087623,1.6980600357055664,0.8400514125823975,0.858008623123169,100.117321310837,73.33895197439175,1330.0452897945486,8.495686654974989,0.97348726216035,correct,correct,good_form,57,label_mismatch_rom_too_low:75.5
60,2026-06-10T05:35:00,S02,session_01,side,normal,biceps,right,80.9788541899294,1.5527223230818223,0.6553594970419665,7.392489533656777,1.5396792888641355,0.6995394229888916,0.8401398658752441,115.22074434314555,80.85898012791814,1534.4974715143817,6.9735743625981215,0.9831039424453464,correct,correct,good_form,59,label_mismatch_rom_too_low:81.0
